Event: 1	 Baseline: 1307.02	 Amplitude: 78.975	 Rise: 25
Event: 2	 Baseline: 2006.69	 Amplitude: 145.31	 Rise: 225
Event: 3	 Baseline: 1848.61	 Amplitude: 351.385	 Rise: 525
Event: 4	 Baseline: 1370.75	 Amplitude: 89.25	 Rise: 0
Event: 5	 Baseline: 1894.29	 Amplitude: 717.71	 Rise: 400
Event: 6	 Baseline: 1977.54	 Amplitude: 136.455	 Rise: 525
Event: 7	 Baseline: 1768.13	 Amplitude: 825.865	 Rise: 400
Event: 8	 Baseline: 1424.39	 Amplitude: 194.61	 Rise: 0
Event: 9	 Baseline: 1938.6	 Amplitude: 86.4	 Rise: 25
Event: 10	 Baseline: 1548.5	 Amplitude: 3992.5	 Rise: 500
Event: 11	 Baseline: 1522.97	 Amplitude: 195.03	 Rise: 250
Event: 12	 Baseline: 1298.9	 Amplitude: 1258.1	 Rise: 450
Event: 13	 Baseline: 1829.42	 Amplitude: 615.585	 Rise: 375
Event: 14	 Baseline: 1291.02	 Amplitude: 114.985	 Rise: 0
Event: 15	 Baseline: 1904.81	 Amplitude: 2497.19	 Rise: 725
Event: 16	 Baseline: 1672	 	 Amplitude: 62.005	 Rise: 0
Event: 17	 Baseline: 1656.28	 Amplitude: 877.715	 Rise: 475
Event: 18	 Baseline: 1496.63	 Amplitude: 349.365	 Rise: 200
Event: 19	 Baseline: 1765.32	 Amplitude: 2266.68	 Rise: 425
Event: 20	 Baseline: 1446.79	 Amplitude: 886.21	 Rise: 400
Event: 21	 Baseline: 1279.62	 Amplitude: 362.38	 Rise: 450
Event: 22	 Baseline: 1843.82	 Amplitude: 8773.18	 Rise: 250
Event: 23	 Baseline: 1364.74	 Amplitude: 90.26	 Rise: 25
Event: 24	 Baseline: 1589.98	 Amplitude: 550.02	 Rise: 275
Event: 25	 Baseline: 2016.2	 Amplitude: 167.795	 Rise: 525
Event: 26	 Baseline: 1894.12	 Amplitude: 2018.88	 Rise: 375
Event: 27	 Baseline: 1635.5	 Amplitude: 2288.5	 Rise: 475
Event: 28	 Baseline: 1532.3	 Amplitude: 81.705	 Rise: 25
Event: 29	 Baseline: 1638.42	 Amplitude: 246.585	 Rise: 300
Event: 30	 Baseline: 1782.38	 Amplitude: 414.62	 Rise: 375
Event: 31	 Baseline: 1936.79	 Amplitude: 256.205	 Rise: 425
Event: 32	 Baseline: 1849.18	 Amplitude: 5468.82	 Rise: 400
